high_i_o_read,high_i_o_write,high_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,high_pod_restart
1476,1326,12486471680.0,5000,17306,18764,20536,1656,516458,32097.0,3132.0,1486,114044,14462,4877,4922,754738,0.00352,0.0153,0.00278,0.05,0.00257,0.019,0.0151,,0.00917,0.00555,0.00829,0.00758,0.00259,0.00162,0.0119,0.0
1478,1326,12486361088.0,5000,17306,17197,20536,1623,516458,31757.0,3186.0,1490,110456,14081,4877,5094,749060,0.00352,0.0153,0.00322,0.05,0.00268,0.0197,0.0153,,0.00917,0.00559,0.00829,0.00758,0.00259,0.00167,0.0121,0.0
1476,949,12490956800.0,5000,16803,17316,20536,1574,516458,31417.0,3239.0,1436,110456,14081,4552,5094,747962,0.00352,0.016,0.00322,0.05,0.00268,0.0197,0.0156,,0.00917,0.00561,0.00829,0.0076,0.00259,0.00195,0.0122,0.0
1474,949,12500791296.0,5000,16803,17857,20536,1574,516458,31042.0,3293.0,1436,110456,14081,4552,5094,748181,0.00377,0.016,0.00322,0.0586,0.00268,0.0227,0.0159,,0.00917,0.00683,0.00829,0.00785,0.00259,0.00195,0.0133,0.0
1462,909,12505956352.0,5000,16803,17436,20000,1574,516458,30703.0,3347.0,1436,108371,14081,4552,4968,744729,0.00377,0.016,0.00322,0.0586,0.00268,0.0227,0.0162,,0.00917,0.00683,0.00829,0.00878,0.00266,0.00195,0.0134,0.0
1433,896,12505579520.0,4761,16803,17436,19411,1574,516458,30364.0,3400.0,1436,108371,14081,4552,4968,743616,0.00376,0.016,0.00322,0.0586,0.00268,0.0227,0.0164,,0.00917,0.00683,0.00877,0.00878,0.00269,0.00195,0.0135,0.0
1431,896,12470976512.0,4761,16188,17436,19849,1574,500991,30025.0,3454.0,1436,108371,14081,4552,4968,727686,0.00388,0.016,0.00322,0.0586,0.00273,0.0227,0.0167,,0.00917,0.00683,0.00877,0.00878,0.00269,0.00195,0.0135,0.0
1469,896,12472512512.0,4667,15967,17436,19849,1552,450990,29685.0,3941.0,1436,108371,14081,4552,4968,677495,0.00388,0.0179,0.00397,0.0586,0.00291,0.0227,0.0158,,0.00917,0.00683,0.00849,0.00878,0.00269,0.00195,0.0136,0.0
1469,943,12435034112.0,4667,15967,17436,19849,1552,454121,29346.0,4001.0,1436,105058,14081,4552,4968,677034,0.00388,0.0179,0.00397,0.0616,0.00291,0.0227,0.0158,,0.00917,0.00776,0.0107,0.00878,0.00269,0.00226,0.0142,0.0
1463,924,12432424960.0,4667,15967,17436,19849,1552,469535,29007.0,4062.0,1415,105058,12379,4110,4505,689542,0.00388,0.0185,0.00397,0.0665,0.00291,0.0264,0.0158,,0.00917,0.00776,0.0107,0.00987,0.00269,0.00228,0.015,0.0
