"Time","adservice-66cdf5d799-5lhlj","adservice-6b4979fd86-tnxvz","cartservice-594d56988-9w8kn","cartservice-88fdf8db5-2wr56","checkoutservice-678cdcb74b-xcwsn","checkoutservice-77bcb7ccc7-f46zn","currencyservice-65f5c47df6-rp4vg","currencyservice-84f9ccd67-rjh2b","emailservice-57d8c6575f-q74jx","emailservice-f56d9cccb-zbwv5","frontend-544d59f594-bp5hp","frontend-6b49fbfbff-4b47z","loadgenerator-64d987f766-wkpjd","loadgenerator-7c6fb64488-2t28g","loadgenerator-7c6fb64488-9r298","paymentservice-584488cb95-kxs6t","paymentservice-dc6c9d6c6-87r24","productcatalogservice-5f999d9577-m9flc","productcatalogservice-68f4dbd84b-7jjgx","recommendationservice-564896d75f-4djl7","recommendationservice-6d849b6d76-z796t","redis-cart-7fc544db85-mk6rh","redis-cart-855b76d469-trkq5","shippingservice-5cb69d4cbd-bmprb","shippingservice-79d4cfc86c-8h4z5"
2024-05-31 12:01:40,60.5,95.1,37.4,125,51.7,92.5,28.7,122,71.4,253,92.4,97.5,1855,,,123,23.2,30.4,114,297,28.8,52.4,27.4,31.6,171
2024-05-31 12:01:45,57.0,93.3,35.2,124,55.1,85.3,49.1,114,76.1,247,90.6,105,1924,,,120,25.2,30.7,112,292,32.3,51.2,29.2,34.2,168
2024-05-31 12:01:50,60.5,91.0,43.4,121,58.5,87.0,52.1,116,80.8,242,88.7,112,1924,116,,116,27.1,33.4,112,289,35.7,50.0,38.7,37.8,163
2024-05-31 12:01:55,64.0,89.2,45.9,119,56.5,85.1,53.2,113,86.0,234,87.0,108,1844,144,,114,29.1,33.8,109,283,45.9,48.4,41.0,40.5,159
2024-05-31 12:02:00,63.2,87.4,48.3,117,59.5,83.1,56.1,111,90.7,229,85.1,115,1878,172,,111,30.5,36.3,107,265,50.0,47.2,43.3,44.1,156
2024-05-31 12:02:05,66.5,84.2,46.1,114,62.6,79.8,59.0,110,95.4,224,85.8,121,1878,226,,112,32.4,38.8,105,269,54.0,46.0,40.5,46.6,155
2024-05-31 12:02:10,69.7,82.4,53.1,112,65.1,77.9,72.2,108,103,219,83.9,127,1938,258,,109,34.3,40.7,103,263,64.5,44.9,42.6,50.1,152
2024-05-31 12:02:15,66.8,82.4,55.6,111,68.2,75.9,75.6,105,108,216,82.0,133,1902,290,,107,37.8,43.2,101,258,69.0,43.7,44.6,47.8,142
2024-05-31 12:02:20,69.9,80.6,58.1,108,71.3,73.9,79.0,103,113,211,80.3,168,1866,242,,104,39.8,52.3,98.2,244,73.5,42.6,44.9,54.1,146
2024-05-31 12:02:25,72.8,78.8,56,105,69.5,71.6,75.1,100,122,204,78.4,175,1831,242,113,102,41.7,55.1,95.9,248,75.9,41.4,46.9,57.4,143
2024-05-31 12:02:30,72.1,77.0,61.3,102,72.3,69.7,81.7,97.6,127,199,76.5,183,1929,242,143,99.4,43.7,57.9,93.6,242,80.3,40.3,48.8,60.7,139
2024-05-31 12:02:35,75.0,74.9,63.7,99.9,75.2,67.7,84.9,91.9,132,194,74.6,229,1891,242,205,97.0,47.4,59.4,91.5,237,84.6,39.1,50.5,65.5,128
2024-05-31 12:02:40,77.8,73.1,66.1,93.1,78.7,68.3,158,89.4,137,188,72.2,238,1852,242,241,94.2,49.4,62.1,89.1,236,104,38.0,52.5,68.8,132
2024-05-31 12:02:45,102,69.8,123,95.8,81.5,66.2,164,86.9,141,182,70.3,247,1735,242,276,91.8,51.5,60.3,86.8,230,109,37.1,62.0,66.8,128
2024-05-31 12:02:50,106,68.0,127,93.2,84.4,64.2,305,88.8,146,176,68.4,1602,1784,242,244,89.3,55.8,406,84.5,221,114,35.9,64.2,86.5,125
2024-05-31 12:02:55,109,70.5,131,90.6,81.8,59.8,316,86.1,151,174,69.2,1660,1745,242,603,86.9,58.0,423,80.8,216,224,34.7,66.4,90.3,124
2024-05-31 12:03:00,113,68.7,136,92.5,144,57.9,326,83.5,163,169,67.2,4311,1707,242,664,81.9,60.1,1086,78.5,211,233,33.6,68.7,94.2,121
2024-05-31 12:03:05,168,66.8,301,89.8,149,55.9,692,80.9,168,164,65.2,4457,1675,242,725,79.6,62.2,1127,76.2,208,243,32.5,104,124,117
2024-05-31 12:03:10,173,62.0,311,87.1,320,48.6,713,79.5,190,158,62.5,4602,1636,242,645,77.2,76.9,1168,76.9,203,331,31.4,107,129,115
2024-05-31 12:03:15,178,60.2,320,87.4,329,51.0,735,76.9,196,152,60.6,9618,1598,242,1286,75.3,79.4,2032,74.5,200,344,30.5,111,126,112
2024-05-31 12:03:20,244,58.4,543,84.6,339,49.1,1253,70.9,201,147,58.6,9913,1559,242,1379,72.9,82.0,2101,72.1,194,490,29.4,171,201,108
2024-05-31 12:03:25,251,56.6,558,81.8,348,47.2,1289,68.3,218,142,56.6,10208,1528,242,1472,73.5,107,2056,67.9,184,508,28.2,175,208,104
2024-05-31 12:03:30,258,55.1,574,81.4,560,45.7,1324,65.7,224,136,54.9,16394,1489,242,1956,71.0,110,3569,65.6,179,525,27.0,180,215,101
2024-05-31 12:03:35,362,53.3,770,78.5,575,43.8,1360,68.1,230,128,53.0,16855,1454,242,2072,68.6,113,3679,63.2,179,691,24.8,185,297,98.6
2024-05-31 12:03:40,371,51.5,790,75.7,590,42.2,2100,65.4,252,123,51.0,22892,1415,242,2188,63.8,125,3609,54.7,174,713,23.7,258,307,95.1
2024-05-31 12:03:45,380,49.7,810,74.1,859,40.3,2153,62.6,259,118,48.5,23501,1376,242,2809,61.4,129,6112,57.0,168,735,22.5,264,316,91.6
2024-05-31 12:03:50,517,47.9,1192,71.2,880,38.3,2207,57.0,265,116,46.5,24110,1256,242,2951,59.0,132,6285,54.7,160,918,21.7,271,309,87.1
2024-05-31 12:03:55,530,46.1,1221,68.2,901,38.1,2847,54.5,292,111,44.6,32250,1305,242,3385,55.3,161,6458,52.5,154,945,20.5,262,426,83.7
2024-05-31 12:04:00,543,46.2,1486,65.3,923,36.1,2914,51.9,299,105,42.6,33045,1266,242,3540,52.9,165,6301,53.1,149,971,19.4,385,438,80.2
