i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
2928,10295,13084737536,799,1992,1646,3685,433,47833,4120.0,1611.0,289,14158,1437,520.0,646,79169,0.00443,0.0117,0.00306,0.0257,0.00261,0.0249,0.0227,0.00246,0.00362,0.00695,0.00556,0.00319,0.00237,0.00994,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3019,10295,13120856064,799,2074,1646,3685,433,47833,4234.0,1596.0,289,14158,1437,520.0,672,79376,0.00443,0.0117,0.00306,0.0257,0.00261,0.0257,0.0234,0.00248,0.00549,0.00695,0.00967,0.00319,0.00237,0.0106,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3110,10295,13148295168,1118,2074,1646,3685,433,69353,4348.0,1582.0,289,14158,1437,520.0,918,101560,0.00443,0.0117,0.00306,0.0367,0.00261,0.0257,0.024,0.00246,0.00549,0.00727,0.00967,0.00319,0.00237,0.0115,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3201,10068,13151637504,1118,2771,1727,3685,439,69353,4463.0,1567.0,296,14158,1387,767.0,918,102647,0.00443,0.0117,0.00306,0.0379,0.00306,0.0257,0.0246,0.00244,0.0057,0.00727,0.00967,0.00341,0.00237,0.0118,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3293,10230,13157904384,1118,2771,1727,3685,498,69353,4577.0,1552.0,348,14158,2285,767.0,918,103757,0.00443,0.0156,0.00399,0.0379,0.00306,0.0257,0.0253,0.00241,0.0057,0.00969,0.00967,0.00341,0.00244,0.0124,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3124,10266,13174820864,1118,2771,1678,3685,498,69353,4692.0,1487.0,348,18889,2285,767.0,918,108488,0.00444,0.0156,0.00399,0.0379,0.00306,0.0257,0.0259,0.00239,0.0057,0.00969,0.0101,0.00341,0.00244,0.0125,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3209,10680,13175443456,1175,2771,2649,3685,498,72950,4240.0,1541.0,348,19424,2285,767.0,918,113251,0.00459,0.0164,0.00399,0.0379,0.00306,0.0257,0.0266,0.00237,0.0057,0.00969,0.0101,0.00346,0.00244,0.0127,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3293,10680,13182464000,1175,2894,2649,3573,498,72950,6374.0,1526.0,348,20037,2337,767.0,918,116047,0.00446,0.0164,0.00399,0.0379,0.00306,0.0257,0.0272,0.00235,0.0057,0.00969,0.013,0.00346,0.00244,0.0129,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3166,10511,13186375680,1468,2894,2649,3735,498,72950,6522.0,1511.0,348,20037,2353,767.0,1132,116865,0.00443,0.0164,0.00418,0.0379,0.00306,0.0249,0.025,0.00233,0.00763,0.0102,0.013,0.00346,0.00316,0.013,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3204,10125,13200678912,1468,2894,2649,5566,498,72950,6670.0,1496.0,358,20037,2426,767.0,1176,118957,0.0044,0.0164,0.00418,0.0379,0.00306,0.0366,0.025,0.0023,0.00799,0.012,0.013,0.00367,0.00323,0.0141,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3052,10125,13208035328,1468,2894,2649,5566,498,70538,6819.0,1481.0,358,20037,2426,767.0,1176,116678,0.00584,0.0164,0.00418,0.0367,0.00306,0.0366,0.034,0.00228,0.00799,0.012,0.013,0.00367,0.00334,0.0149,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3124,10125,13207797760,1468,2798,2756,5566,507,108363,6967.0,1466.0,358,20037,2426,782.0,1176,154671,0.00584,0.0164,0.00418,0.0386,0.00306,0.0366,0.0348,0.00226,0.00799,0.012,0.013,0.00367,0.00334,0.0151,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2912,10125,13218299904,1468,2779,2756,5566,569,108363,7825.0,1452.0,423,20037,2346,1171.0,1176,155932,0.00584,0.0204,0.00404,0.0509,0.00367,0.0366,0.0355,0.00224,0.00799,0.012,0.0133,0.00367,0.00334,0.0166,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2978,10439,13223948288,1468,4225,2756,5566,569,114507,7988.0,1437.0,423,26341,3323,1171.0,1176,170950,0.00584,0.0204,0.00588,0.0509,0.00367,0.0366,0.0363,0.00221,0.00799,0.012,0.0137,0.00375,0.00334,0.0169,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3044,10651,13227773952,1528,4380,3570,5566,569,114507,8151.0,1352.0,423,26341,3323,1171.0,1176,172058,0.006,0.0217,0.00588,0.0509,0.00367,0.0426,0.037,0.00219,0.00799,0.012,0.0137,0.00375,0.00334,0.0176,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3110,10446,13232553984,1882,4380,3570,5730,569,114507,8314.0,1406.0,425,27172,3323,1171.0,1176,173625,0.006,0.0217,0.00615,0.0509,0.00367,0.0426,0.0378,0.00216,0.00799,0.012,0.0137,0.00375,0.00334,0.0176,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3176,10446,13236613120,1882,4380,3570,5943,564,114507,8477.0,1391.0,439,28079,3323,1171.0,1528,175254,0.006,0.0217,0.00615,0.0509,0.00367,0.0426,0.0385,0.00214,0.00806,0.0154,0.0132,0.00375,0.00422,0.018,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3242,10446,13239250944,1882,4380,3716,5748,568,139659,8640.0,1376.0,439,28079,3456,1171.0,1528,200642,0.00692,0.0217,0.00615,0.0509,0.00367,0.0452,0.0392,0.00212,0.0107,0.0154,0.0183,0.00375,0.00422,0.019,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3017,10135,13244051456,1882,4380,3716,7663,586,139659,8802.0,1361.0,493,33061,3979,1171.0,1528,208281,0.00692,0.0217,0.00615,0.0576,0.00367,0.0452,0.0441,0.0021,0.0107,0.0154,0.0183,0.00405,0.00431,0.02,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2842,10422,13251067904,1882,4589,3716,7663,586,139659,8965.0,1347.0,493,33061,3979,1209.0,1528,208675,0.007,0.0253,0.00615,0.0598,0.00367,0.0452,0.0449,0.00209,0.0107,0.0154,0.0183,0.00405,0.00447,0.0206,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2898,10233,13247946752,1968,4589,3716,7663,568,139659,10198.0,1332.0,493,33061,3979,1210.0,1528,209963,0.00705,0.0253,0.00615,0.0598,0.00355,0.0452,0.0457,0.00206,0.0107,0.0154,0.0183,0.00405,0.00447,0.0207,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2953,10233,13256142848,1968,4440,3606,7663,657,143746,10380.0,1317.0,493,33061,3979,1620.0,1528,214457,0.00726,0.0253,0.00615,0.0598,0.00364,0.0514,0.0465,0.00204,0.0107,0.0154,0.0191,0.00405,0.00447,0.0213,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3009,10501,13271285760,1968,4409,3582,7663,657,144743,10562.0,1302.0,493,33061,3979,1620.0,1721,215759,0.00726,0.0253,0.00632,0.0598,0.00439,0.0514,0.0474,0.00202,0.0113,0.0158,0.0215,0.00413,0.00447,0.0218,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3064,10501,13265805312,2371,5912,5038,7663,657,149568,10744.0,1289.0,493,33061,4189,1620.0,1756,224359,0.00801,0.0266,0.00832,0.0598,0.00439,0.0514,0.0482,0.00199,0.0113,0.018,0.0215,0.00413,0.00447,0.0223,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3120,10295,13272027136,2371,5912,5038,7663,657,149568,10926.0,1274.0,496,34093,4189,1620.0,1823,225630,0.00801,0.0266,0.00832,0.0598,0.00439,0.0514,0.049,0.00196,0.0129,0.0186,0.0215,0.0043,0.00518,0.0227,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3175,10295,13272342528,2371,5912,5038,9227,657,181415,11108.0,1259.0,563,35320,4189,1620.0,1823,260501,0.00801,0.0266,0.00832,0.0636,0.00439,0.0542,0.0498,0.00194,0.0129,0.0186,0.0215,0.0043,0.00518,0.0233,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3231,10295,13281054720,2432,6234,5038,9227,668,181415,11290.0,1244.0,563,42082,4059,1620.0,1823,267695,0.00801,0.0266,0.00832,0.0636,0.00439,0.0542,0.0506,0.00192,0.0129,0.0186,0.0215,0.0043,0.00518,0.0233,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2996,10502,13271547904,2518,6234,5038,9227,668,181415,12247.0,1229.0,563,42082,4944,1815.0,1823,269802,0.00801,0.0307,0.00832,0.0613,0.00439,0.0542,0.0469,0.0019,0.0129,0.0186,0.0227,0.0043,0.00518,0.0233,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2895,10184,13279338496,2786,6234,5038,9227,714,181415,12441.0,1215.0,563,42082,4944,1862.0,1823,270343,0.00801,0.0307,0.00832,0.0724,0.00439,0.0527,0.0563,0.00187,0.0129,0.0202,0.0227,0.0043,0.0054,0.025,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2824,10490,13269606400,2786,6234,5263,9227,714,181415,12635.0,1200.0,563,42082,4944,1927.0,1823,270812,0.00831,0.0307,0.00832,0.0724,0.00439,0.0523,0.0572,0.00185,0.0135,0.0202,0.0255,0.00442,0.0054,0.0254,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2870,10490,13272072192,2786,6234,5263,9227,714,201141,12830.0,1185.0,563,42082,4944,1927.0,2045,290940,0.00831,0.0307,0.00832,0.0724,0.0044,0.0633,0.0581,0.00172,0.0135,0.0202,0.0255,0.00442,0.0054,0.0264,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2916,10490,13271240704,2786,7136,5095,9227,714,210625,13024.0,1170.0,563,42082,5118,1927.0,2045,301513,0.00804,0.0325,0.00967,0.0724,0.00496,0.0633,0.059,0.00181,0.0147,0.0202,0.0255,0.00442,0.0054,0.0268,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2962,10164,13293961216,2786,7136,6103,9682,729,210625,13218.0,1155.0,547,46198,5118,1927.0,2045,307271,0.00924,0.0325,0.01,0.0724,0.00496,0.0633,0.0599,0.00179,0.0147,0.0212,0.0255,0.00462,0.00522,0.0271,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3008,10356,13289345024,2786,7136,6103,9682,729,210625,13413.0,1141.0,566,47431,5118,1927.0,2163,308821,0.00924,0.0325,0.01,0.0746,0.00496,0.0654,0.0607,0.00176,0.0147,0.0212,0.0255,0.00462,0.00609,0.0276,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3054,10356,13295923200,2786,7568,6103,10987,760,210625,13607.0,1126.0,642,49017,5118,1927.0,2163,312429,0.00924,0.0325,0.01,0.077,0.00496,0.0659,0.0616,0.00174,0.0147,0.0212,0.0255,0.00462,0.00639,0.0279,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3100,10126,13302493184,3135,7568,6103,10987,760,210625,13801.0,1111.0,642,49017,5818,1866.0,2163,313596,0.00959,0.0359,0.01,0.0831,0.00496,0.0679,0.0625,0.00172,0.0147,0.023,0.0286,0.00462,0.00639,0.0294,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2932,10126,13310763008,3237,7568,6303,10987,760,229773,12919.0,1096.0,642,49017,6087,2223.0,2163,332776,0.00959,0.0359,0.01,0.0831,0.00496,0.0732,0.0672,0.0017,0.0147,0.023,0.0296,0.00462,0.00639,0.0303,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2781,10401,13328257024,3237,7568,6513,10987,765,229773,15402.0,1081.0,642,49017,6087,2346.0,2405,335824,0.00959,0.0359,0.01,0.0831,0.00529,0.0732,0.0682,0.00167,0.0165,0.023,0.0296,0.00474,0.00639,0.0306,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2821,10662,13328211968,3237,8519,6513,10987,789,241707,15613.0,1067.0,642,49017,6087,2346.0,2405,348929,0.00959,0.0359,0.01,0.0831,0.00535,0.0732,0.0691,0.00165,0.0165,0.023,0.0296,0.00474,0.00639,0.0307,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2861,10395,13338677248,3237,8519,6513,11622,789,241707,15823.0,1052.0,642,49017,6087,2346.0,2405,349760,0.00959,0.0368,0.00971,0.0831,0.00553,0.0732,0.0701,0.00151,0.0165,0.0241,0.0296,0.00495,0.00639,0.0309,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
