i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
863.0,28.8,12447653888,771.0,2273.0,1622.0,3540.0,416.0,47637.0,2550.0,4026.0,300.0,13596.0,1913.0,519.0,800.0,79964.0,0.0102,0.0135,0.00189,0.0277,0.00235,0.0148,0.00279,0.016,0.00445,0.00475,0.00618,0.00252,0.00126,0.00903,0.0
1144.0,28.8,12559036416,771.0,2273.0,1622.0,3540.0,481.0,47637.0,2647.0,4125.0,300.0,13596.0,1913.0,519.0,821.0,80247.0,0.0102,0.0135,0.00189,0.0277,0.00235,0.0148,0.00277,0.0165,0.00445,0.00475,0.00618,0.00252,0.00126,0.00906,0.0
1143.0,28.8,12592168960,771.0,2273.0,1574.0,3540.0,481.0,47637.0,2623.0,4225.0,300.0,13596.0,1913.0,659.0,821.0,80413.0,0.0102,0.0135,0.00189,0.0277,0.00235,0.0148,0.00274,0.0169,0.00445,0.00475,0.00618,0.00252,0.00166,0.00913,0.0
1144.0,28.8,12615069696,771.0,2384.0,2382.0,3540.0,481.0,47637.0,2599.0,4324.0,300.0,13596.0,1913.0,659.0,821.0,81407.0,0.0102,0.0135,0.0029,0.0277,0.00235,0.0148,0.00262,0.0174,0.00445,0.00484,0.00618,0.00252,0.00166,0.00925,0.0
1156.0,28.8,12646526976,771.0,2384.0,2492.0,3540.0,481.0,49800.0,2575.0,4423.0,312.0,13596.0,1913.0,659.0,821.0,83766.0,0.0102,0.0135,0.0029,0.0277,0.00238,0.0148,0.00262,0.0188,0.00445,0.00787,0.00618,0.00252,0.00171,0.00963,0.0
1173.0,28.8,12707524608,947.0,2384.0,2492.0,3540.0,481.0,69100.0,2551.0,4522.0,312.0,14167.0,2405.0,690.0,821.0,104412.0,0.0102,0.0135,0.0029,0.0277,0.00272,0.0153,0.00271,0.0193,0.00471,0.00787,0.00618,0.00257,0.00171,0.00977,0.0
1404.0,29.0,12736368640,990.0,2384.0,2492.0,4414.0,481.0,69100.0,2526.0,5210.0,363.0,14167.0,2405.0,690.0,795.0,106017.0,0.0102,0.0131,0.0029,0.0346,0.00272,0.0158,0.00268,0.0198,0.00456,0.00787,0.0088,0.00265,0.00171,0.0106,0.0
1408.0,28.9,12749078528,990.0,2384.0,2492.0,4518.0,481.0,69100.0,2502.0,5322.0,363.0,17689.0,2459.0,690.0,1114.0,110104.0,0.0102,0.0164,0.0029,0.0362,0.00272,0.0158,0.00266,0.0203,0.00723,0.00787,0.00921,0.00265,0.00171,0.0113,0.0
1410.0,28.6,12740435968,990.0,2384.0,2492.0,4667.0,481.0,69100.0,2478.0,5434.0,363.0,17689.0,2549.0,690.0,1114.0,110432.0,0.0155,0.017,0.0029,0.0362,0.00272,0.0153,0.00263,0.0208,0.00723,0.00787,0.00921,0.00265,0.00171,0.0118,0.0
1418.0,28.2,12751437824,990.0,3073.0,2492.0,4667.0,473.0,69100.0,2502.0,5546.0,363.0,17689.0,2549.0,690.0,1114.0,111248.0,0.016,0.017,0.0029,0.0362,0.00272,0.0237,0.00261,0.0213,0.00723,0.00787,0.00921,0.00265,0.00173,0.0126,0.0
1429.0,28.2,12776894464,990.0,3207.0,2420.0,4667.0,547.0,81674.0,2478.0,5658.0,363.0,17689.0,2549.0,667.0,1114.0,124023.0,0.016,0.017,0.00299,0.0362,0.00276,0.0237,0.00258,0.0218,0.00723,0.00787,0.00921,0.00265,0.00174,0.0126,0.0
1678.0,28.2,12779429888,1112.0,3207.0,2472.0,4667.0,547.0,84367.0,2453.0,5770.0,372.0,18507.0,2549.0,865.0,1114.0,128002.0,0.016,0.017,0.00299,0.0362,0.00276,0.0237,0.00256,0.0203,0.00723,0.00827,0.00921,0.00265,0.00247,0.0126,0.0
1698.0,28.7,12780818432,1112.0,3207.0,3524.0,4667.0,547.0,84367.0,2428.0,6214.0,372.0,18507.0,2549.0,865.0,1114.0,129474.0,0.016,0.017,0.00423,0.0362,0.00276,0.0237,0.00257,0.0203,0.00723,0.00798,0.00921,0.00258,0.00247,0.0127,0.0
2297.0,28.7,12760440832,1140.0,3207.0,3524.0,5465.0,547.0,84367.0,2404.0,6332.0,372.0,18507.0,3020.0,896.0,1255.0,131037.0,0.016,0.02,0.00423,0.0373,0.00276,0.0237,0.00254,0.0246,0.00765,0.0113,0.00921,0.00256,0.00247,0.0137,0.0
2300.0,28.7,12767850496,1178.0,3207.0,3524.0,5465.0,547.0,84367.0,2430.0,6451.0,421.0,18507.0,3020.0,896.0,1255.0,131269.0,0.016,0.0207,0.00423,0.0462,0.00308,0.0244,0.00252,0.0252,0.00964,0.0113,0.00921,0.00287,0.00247,0.0148,0.0
2346.0,29.4,12771815424,1178.0,3207.0,3524.0,5465.0,547.0,84367.0,2405.0,6569.0,421.0,18507.0,3020.0,896.0,1320.0,131427.0,0.016,0.0207,0.00423,0.0462,0.00308,0.0253,0.00249,0.0257,0.00964,0.0113,0.00938,0.00287,0.00247,0.0149,0.0
2364.0,28.9,12768792576,1178.0,3664.0,3524.0,5784.0,593.0,84367.0,2380.0,6687.0,421.0,22736.0,3175.0,896.0,1320.0,136726.0,0.0155,0.0207,0.00446,0.0462,0.00315,0.0253,0.00247,0.0262,0.00964,0.0113,0.0124,0.00287,0.00247,0.0152,0.0
2350.0,29.5,12785815552,1178.0,3858.0,3524.0,5784.0,593.0,84367.0,2355.0,7063.0,421.0,23370.0,3175.0,1008.0,1320.0,138015.0,0.018,0.0207,0.00446,0.0462,0.00315,0.0253,0.00244,0.0267,0.00964,0.0113,0.0124,0.00287,0.00247,0.0155,0.0
2364.0,28.1,12778745856,1178.0,3858.0,3524.0,5784.0,593.0,84367.0,2330.0,7185.0,421.0,24125.0,3175.0,1029.0,1320.0,138889.0,0.018,0.0207,0.00446,0.0483,0.00315,0.0244,0.00242,0.0272,0.00964,0.0119,0.0124,0.00287,0.00252,0.0157,0.0
