"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:15:14,88976
2024-06-12 11:15:16,89003
2024-06-12 11:15:18,88196
2024-06-12 11:15:20,86147
2024-06-12 11:15:22,86759
2024-06-12 11:15:24,87216
2024-06-12 11:15:26,87785
2024-06-12 11:15:28,88154
2024-06-12 11:15:30,88744
2024-06-12 11:15:32,88633
2024-06-12 11:15:34,88272
2024-06-12 11:15:36,88294
2024-06-12 11:15:38,87300
2024-06-12 11:15:40,85520
2024-06-12 11:15:42,85976
2024-06-12 11:15:44,85851
2024-06-12 11:15:46,85725
2024-06-12 11:15:48,87676
2024-06-12 11:15:50,88293
2024-06-12 11:15:52,88929
2024-06-12 11:15:54,84993
2024-06-12 11:15:56,85569
2024-06-12 11:15:58,85624
2024-06-12 11:16:00,85638
2024-06-12 11:16:02,85649
2024-06-12 11:16:04,84813
2024-06-12 11:16:06,85400
2024-06-12 11:16:08,86010
2024-06-12 11:16:10,86589
2024-06-12 11:16:12,87039
2024-06-12 11:16:14,87640
2024-06-12 11:16:16,84503
2024-06-12 11:16:18,84500
2024-06-12 11:16:20,84532
2024-06-12 11:16:22,86851
2024-06-12 11:16:24,87447
2024-06-12 11:16:26,87932
2024-06-12 11:16:28,88526
2024-06-12 11:16:30,85033
2024-06-12 11:16:32,85169
2024-06-12 11:16:34,85162
2024-06-12 11:16:36,85177
2024-06-12 11:16:38,87434
2024-06-12 11:16:40,88019
2024-06-12 11:16:42,88543
2024-06-12 11:16:44,89087
2024-06-12 11:16:46,86991
2024-06-12 11:16:48,85020
2024-06-12 11:16:50,85005
2024-06-12 11:16:52,85014
2024-06-12 11:16:54,87007
2024-06-12 11:16:56,87581
2024-06-12 11:16:58,88139
2024-06-12 11:17:00,84162
2024-06-12 11:17:02,84123
2024-06-12 11:17:04,15888
2024-06-12 11:17:06,15967
2024-06-12 11:17:08,15972
2024-06-12 11:17:10,15951
2024-06-12 11:17:12,15536
2024-06-12 11:17:14,14915
2024-06-12 11:17:16,14864
2024-06-12 11:17:18,14898
2024-06-12 11:17:20,14908
2024-06-12 11:17:22,14908
2024-06-12 11:17:24,1601
2024-06-12 11:17:26,1599
2024-06-12 11:17:28,1610
2024-06-12 11:17:30,1609
2024-06-12 11:17:32,1539
2024-06-12 11:17:34,1322
2024-06-12 11:17:36,1331
2024-06-12 11:17:38,1330
2024-06-12 11:17:40,1255
2024-06-12 11:17:42,1036
2024-06-12 11:17:44,1040
2024-06-12 11:17:46,1049
2024-06-12 11:17:48,982
2024-06-12 11:17:50,1103
2024-06-12 11:17:52,1112
2024-06-12 11:17:54,1120
2024-06-12 11:17:56,1129
2024-06-12 11:17:58,1095
2024-06-12 11:18:00,1103
2024-06-12 11:18:02,1306
2024-06-12 11:18:04,1314
2024-06-12 11:18:06,1311
2024-06-12 11:18:08,1339
2024-06-12 11:18:10,1296
2024-06-12 11:18:12,1303
2024-06-12 11:18:14,1303
