i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_system,pod_restart
0,395,12481765376,2500,7305,9049,12874,883,201350,15136.0,,1162.0,867,50344,6444,1965,2789,312668,0.00937,0.0514,0.0138,0.134,0.00591,0.0793,0.0593,,0.00146,0.026,0.0332,0.0296,0.00394,0.00688,0.0379,0
0,0,12479971328,2500,8490,9049,13392,883,213770,15259.0,,1120.0,867,50344,6659,1895,2789,327017,0.00988,0.0514,0.0138,0.134,0.00591,0.0767,0.0598,,0.0014,0.0268,0.0332,0.031,0.00396,0.00688,0.0379,0
0,0,12476817408,2847,8490,9049,12996,883,213770,16104.0,,1079.0,867,50344,6659,2124,2789,328000,0.00988,0.0514,0.0138,0.134,0.00591,0.0846,0.0603,,0.00134,0.0268,0.035,0.031,0.00409,0.00703,0.0388,0
0,0,12480421888,2847,8490,9049,12907,934,213770,16233.0,,1038.0,867,50344,7092,2200,2789,328559,0.00988,0.0514,0.0138,0.134,0.00591,0.0846,0.0608,,0.00129,0.0268,0.035,0.0319,0.00409,0.00768,0.039,0
0,0,12474089472,2847,8490,9049,14106,934,213770,16362.0,,997.0,905,50344,7092,2200,2918,330012,0.00988,0.0514,0.0138,0.139,0.00591,0.0846,0.0613,,0.00123,0.0268,0.0362,0.0319,0.00409,0.00768,0.0395,0
0,0,12469944320,2847,8490,9049,14106,934,218978,16491.0,,955.0,930,55034,7092,2200,2918,340023,0.00998,0.0514,0.0149,0.139,0.00591,0.0846,0.0634,,0.00117,0.0268,0.0362,0.0319,0.00409,0.00768,0.0398,0
0,251,12467687424,2847,8490,9946,14106,934,225294,16620.0,,914.0,930,55034,7092,2200,2813,347220,0.0103,0.0537,0.0149,0.143,0.00591,0.0885,0.0639,,0.00112,0.0278,0.0362,0.0319,0.00418,0.00768,0.0408,0
0,251,12468076544,2847,9205,9946,14106,934,225294,16749.0,,847.0,930,55034,7092,2200,3071,348254,0.0103,0.0537,0.0149,0.143,0.0061,0.0885,0.0644,,0.000936,0.0288,0.0362,0.0334,0.00418,0.00768,0.041,0
0,251,12471734272,2847,9205,9946,14768,934,225294,16878.0,,807.0,930,55034,7092,2200,3071,349004,0.0103,0.0537,0.0149,0.143,0.0061,0.0885,0.0649,,0.000886,0.0288,0.0362,0.0346,0.00418,0.00768,0.0411,0
0,251,12471468032,2847,9205,9946,14768,955,217917,17007.0,,767.0,930,55034,7399,2314,3071,342159,0.01,0.0518,0.0149,0.143,0.00588,0.0885,0.0654,,0.000837,0.0288,0.0362,0.0346,0.00418,0.00768,0.041,0
0,516,12470337536,2847,9205,9946,14768,979,240789,17508.0,,727.0,930,55034,7399,2244,3071,365446,0.0108,0.0554,0.0153,0.143,0.00631,0.0927,0.0659,,0.000787,0.0288,0.0366,0.0346,0.00425,0.00768,0.0419,0
0,516,12467712000,2858,9205,9946,14349,979,240789,17640.0,,687.0,930,57812,7157,2447,3071,367870,0.0108,0.0554,0.0153,0.143,0.00631,0.0927,0.0664,,0.000738,0.0288,0.0399,0.0346,0.00425,0.00804,0.0422,0
0,516,12473061376,3153,9205,9946,14251,979,240789,17772.0,,646.0,987,61059,7108,2447,3202,371546,0.0108,0.0554,0.0153,0.151,0.00631,0.0927,0.0669,,0.00047,0.0294,0.0399,0.0346,0.00425,0.00846,0.043,0
0,505,12478636032,3153,9205,9946,14152,979,254085,17904.0,,641.0,1022,61059,7870,2447,3202,385667,0.0108,0.0554,0.0148,0.151,0.00631,0.0953,0.0698,,0.000436,0.0316,0.0399,0.0346,0.00434,0.00846,0.0436,0
0,505,12479275008,3153,9691,10587,15546,979,254085,18036.0,,599.0,1022,61059,7870,2447,3202,388278,0.0108,0.0581,0.0147,0.154,0.00631,0.0959,0.0703,,0.000402,0.0316,0.0399,0.0363,0.00434,0.00846,0.0443,0
0,520,12485193728,3153,9395,11047,16362,979,254085,18168.0,,558.0,1022,61059,7870,2447,3098,389243,0.0112,0.0581,0.0172,0.154,0.00651,0.0992,0.0708,,0.000368,0.0316,0.0399,0.0352,0.00434,0.00846,0.0447,0
0,520,12487708672,3153,9330,11047,16362,979,262266,18299.0,,516.0,1022,61059,8329,2447,3373,398184,0.0112,0.0581,0.0172,0.154,0.00661,0.102,0.0714,,0.000334,0.0316,0.0399,0.035,0.00444,0.00846,0.045,0
0,520,12489183232,3333,10198,11047,16362,1034,262266,18631.0,,474.0,1022,62859,8329,2560,3373,401490,0.0112,0.0581,0.0172,0.154,0.00661,0.102,0.0719,,0.0003,0.0316,0.043,0.0382,0.00444,0.00846,0.0455,0
0,520,12487122944,3333,10198,11047,16362,1034,262266,18764.0,,432.0,1022,62859,8329,2652,3373,401673,0.0117,0.0581,0.0172,0.154,0.00661,0.102,0.0724,,,0.0323,0.043,0.0382,0.00444,0.00846,0.0457,0
0,520,12486537216,3464,10198,11047,16362,1034,262266,18897.0,,,1022,62859,8329,2652,3550,401682,0.0117,0.061,0.0172,0.154,0.00661,0.102,0.0729,,,0.0323,0.043,0.0382,0.00444,0.00846,0.0459,0
0,520,12486680576,3464,10198,11047,16362,1034,262266,19031.0,,,1056,65694,8329,2652,3550,404684,0.0122,0.061,0.0172,0.154,0.00661,0.102,0.0754,,,0.0323,0.043,0.0382,0.00444,0.00937,0.0463,0
0,512,12483682304,3464,10198,11402,15901,1034,275356,19164.0,,,1056,65694,8692,2652,3631,418244,0.0122,0.061,0.0177,0.165,0.00685,0.102,0.076,,,0.0338,0.043,0.0397,0.00429,0.00937,0.0475,0
