Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,cart_i_o_read,cart_i_o_write,cart_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"cart_pod_restart_{container=""main"", instance=""kube","cart_pod_restart_{container=""main"", instance=""kube.2","cart_pod_restart_{container=""redis"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube.2","cart_pod_restart_{container=""server"", instance=""kube.3","cart_pod_restart_{container=""server"", instance=""kube.4","cart_pod_restart_{container=""server"", instance=""kube.5","cart_pod_restart_{container=""server"", instance=""kube.6","cart_pod_restart_{container=""server"", instance=""kube.7","cart_pod_restart_{container=""server"", instance=""kube.8","cart_pod_restart_{container=""server"", instance=""kube.9"
88,37,181.8108108108108,11453,0,12896976896,394,1324,,,333,,489.0,,5274,1312,,,39108,0.014,0.0214,,3.81e-05,0.00431,,0.00581,,0.00635,0.00778,,,0.0107,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
90,39,422.6923076923077,11440,0,12859527168,394,1333,,,335,,489.0,,8598,1321,,,42697,0.0155,0.0234,,4.82e-05,0.00168,,0.00581,,0.00639,0.00955,,,0.011,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
92,39,205.46153846153845,11440,0,12861276160,394,1342,,,338,,489.0,,8658,1330,,,43018,0.0155,0.0234,,4.47e-05,0.00168,,0.00581,,0.00642,0.00741,,,0.0109,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
94,39,243.0,9308,0,12859056128,414,1351,,,340,,489.0,,8718,1339,,,43373,0.0155,0.0234,,4.11e-05,0.00168,,0.00581,,0.00642,0.00741,,,0.0109,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
96,48,332.375,9233,0,12817432576,417,1363,,,340,,489.0,,8778,1348,,,60526,0.0155,0.0234,,3.76e-05,0.00168,,0.00581,,0.00815,0.00741,,,0.0118,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
98,40,135.75,9222,0,12748541952,504,1372,,,340,,489.0,,8838,1357,,,61036,0.0155,0.0232,,3.4e-05,0.00168,,0.00581,,0.00815,0.00741,,,0.0119,0.0,0.0,,0,0,,,0,0.0,0,0,
100,39,194.94871794871796,8886,0,12760772608,505,1382,,,340,,489.0,,8898,1369,,,62248,0.0129,0.0232,,3.05e-05,0.00168,,0.00581,,0.00815,0.00741,,,0.0122,0.0,0.0,,0,0,,,0,0.0,0,0,
102,46,219.6304347826087,8788,0,12762927104,505,1339,,,339,,489.0,,8958,1332,,,62598,0.0129,0.0232,,,0.00168,,0.00581,,0.0084,0.00741,,,0.0121,0.0,0.0,,0,0,,,0,0.0,0,0,
104,54,182.38888888888889,8788,0,12769726464,505,2161,,,339,,489.0,,12312,1901,,,67797,0.0156,0.0232,,,0.00168,,0.00581,,0.00846,0.00741,,,0.0124,0.0,0.0,,0,0,,,0,0.0,0,0,
106,56,276.0357142857143,8910,0,12768763904,505,2175,,,339,,489.0,,12398,1914,,,68757,0.0156,0.0225,,,0.00174,,0.00581,,0.00851,0.00718,,,0.0123,0.0,0.0,,0,0,,,0,0.0,0,0,
