i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_pod-pod-15,network_outgoing_pod-pod-16,network_outgoing_pod-pod-17,network_outgoing_pod-pod-18,network_outgoing_pod-pod-19,network_outgoing_pod-pod-20,network_outgoing_pod-pod-21,network_outgoing_pod-pod-22,network_outgoing_pod-pod-23,network_outgoing_pod-pod-24,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_pod-pod-15,cpu_pod-pod-16,cpu_pod-pod-17,cpu_pod-pod-18,cpu_pod-pod-19,cpu_pod-pod-20,cpu_pod-pod-21,cpu_pod-pod-22,cpu_pod-pod-23,cpu_pod-pod-24,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,pod-restart-count-pod-14,pod-restart-count-pod-15,pod-restart-count-pod-16,pod-restart-count-pod-17,pod-restart-count-pod-18,pod-restart-count-pod-19,pod-restart-count-pod-20,pod-restart-count-pod-21,pod-restart-count-pod-22,pod-restart-count-pod-23,pod-restart-count-pod-24
224744,0.0,13646499840,60.1,98.9,98.5,152.0,94.5,337.0,96.1,116.0,227.0,110.0,929,674.0,4433.0,523,53.7,109.0,92.4,443.0,120.0,211.0,42.9,57.9,145.0,142.0,9364,0.0197,0.00177,0.00153,0.0123,0.000151,0.000536,0.000368,0.00709,0.00101,0.00318,0.000959,0.000176,0.00347,0.00656,0.00362,0.000397,0.000158,0.000488,0.00391,0.00133,0.0016,0.000923,0.000376,0.000258,0.00599,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
228577,0.0,13647826944,61.2,96.7,97.4,155.0,88.8,344.0,95.1,118.0,225.0,102.0,947,667.0,4396.0,541,50.0,102.0,91.5,451.0,249.0,208.0,42.4,59.0,148.0,142.0,9477,0.0201,0.00176,0.00151,0.0125,0.00015,0.000545,0.000364,0.00722,0.001,0.00326,0.000976,0.000175,0.00344,0.00609,0.00444,0.000393,0.000156,0.000497,0.00394,0.00132,0.00159,0.00094,0.000559,0.000256,0.0061,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
233076,0.0,13652541440,71.9,99.7,96.4,157.0,92.4,350.0,94.2,238.0,223.0,152.0,2397,629.0,4360.0,559,50.0,107.0,90.5,460.0,254.0,206.0,42.0,60.1,151.0,141.0,11081,0.0204,0.00174,0.0015,0.0128,0.00015,0.000555,0.000361,0.00736,0.000992,0.00333,0.000993,0.000173,0.00342,0.00631,0.00453,0.00039,0.000155,0.00104,0.00401,0.0013,0.00157,0.000957,0.000568,0.000253,0.00624,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
237712,0.0,13654548480,73.2,98.9,95.5,160.0,91.4,356.0,93.2,242.0,221.0,155.0,2441,653.0,4324.0,577,97.6,106.0,89.6,468.0,258.0,204.0,40.5,61.2,153.0,139.0,11200,0.0192,0.00173,0.00148,0.013,0.000149,0.000518,0.000357,0.00749,0.000982,0.00339,0.00101,0.000171,0.00339,0.00653,0.00462,0.000386,0.000153,0.00105,0.00408,0.00129,0.00156,0.000974,0.000578,0.00025,0.0062,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
213278,0.0,13656920064,74.5,98.0,94.5,163.0,90.4,363.0,92.3,247.0,219.0,158.0,2485,646.0,4287.0,595,99.4,105.0,88.7,477.0,263.0,202.0,42.1,62.3,156.0,138.0,11245,0.0195,0.00172,0.00147,0.0156,0.000147,0.00138,0.000353,0.00762,0.000972,0.00346,0.00213,0.00017,0.00336,0.00675,0.00471,0.000382,0.00015,0.00107,0.00416,0.00128,0.00154,0.00099,0.000588,0.00025,0.00665,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
217201,0.0,13661982720,75.8,97.2,93.6,313.0,89.5,369.0,94.3,251.0,216.0,161.0,2529,640.0,4251.0,613,101.0,104.0,90.3,448.0,268.0,203.0,41.7,63.5,231.0,136.0,11480,0.0199,0.0017,0.00149,0.0159,0.000146,0.0014,0.00035,0.0115,0.000967,0.00352,0.00216,0.000168,0.00333,0.00697,0.0048,0.000378,0.000148,0.00109,0.00423,0.00126,0.00152,0.00101,0.000598,0.000247,0.00707,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
218483,0.0,13664264192,77.1,96.3,92.7,318.0,88.5,865.0,93.4,255.0,214.0,164.0,2573,633.0,4263.0,631,103.0,103.0,89.4,448.0,272.0,201.0,41.2,98.4,235.0,135.0,12091,0.0202,0.00169,0.00147,0.0162,0.000144,0.00143,0.000346,0.0117,0.000958,0.00359,0.0022,0.00017,0.00331,0.00719,0.00489,0.000366,0.000147,0.00111,0.0043,0.00125,0.00151,0.00105,0.000608,0.000245,0.00717,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
221824,0.0,13661655040,78.4,95.5,91.7,324.0,87.5,880.0,92.4,260.0,216.0,166.0,2617,626.0,4226.0,649,105.0,102.0,88.4,1632.0,277.0,199.0,40.8,100.0,240.0,133.0,13326,0.0206,0.00167,0.00146,0.0165,0.000136,0.00145,0.000355,0.0119,0.000948,0.00365,0.00223,0.000168,0.00328,0.00741,0.00498,0.000362,0.000145,0.00113,0.00438,0.00124,0.00149,0.00107,0.000618,0.000242,0.00728,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
225489,0.0,13657927680,87.6,94.6,90.8,329.0,86.5,894.0,91.4,444.0,214.0,169.0,2661,620.0,4190.0,957,106.0,101.0,87.5,1659.0,282.0,197.0,40.3,102.0,244.0,132.0,13880,0.0197,0.00166,0.00144,0.0167,0.000142,0.00147,0.000351,0.0121,0.000938,0.00367,0.00227,0.000167,0.00325,0.00763,0.00682,0.000358,0.000144,0.00115,0.00445,0.00123,0.00147,0.00109,0.00101,0.000239,0.00746,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
228725,0.0,13653557248,89.0,93.8,93.5,334.0,85.5,909.0,90.4,452.0,211.0,172.0,2705,613.0,4153.0,983,108.0,99.9,86.6,1687.0,286.0,194.0,39.9,104.0,248.0,128.0,13967,0.0201,0.00164,0.00143,0.0169,0.00014,0.0015,0.000347,0.0123,0.000928,0.00373,0.0033,0.000165,0.00322,0.00721,0.00694,0.000355,0.000142,0.00116,0.00452,0.00121,0.00146,0.0011,0.00102,0.000237,0.00759,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
231052,0.0,13657837568,90.4,94.1,92.6,340.0,79.3,924.0,89.4,459.0,209.0,162.0,5969,607.0,4116.0,1009,110.0,98.9,85.6,1714.0,474.0,192.0,39.4,105.0,252.0,126.0,17439,0.0204,0.00163,0.00141,0.0172,0.000138,0.00152,0.000344,0.0158,0.00092,0.0038,0.00336,0.000163,0.0032,0.00741,0.00707,0.000351,0.000141,0.0011,0.00491,0.00121,0.00144,0.00112,0.00104,0.000235,0.00799,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
234891,0.0,13659734016,91.8,93.3,91.6,536.0,83.1,938.0,88.5,466.0,207.0,162.0,6064,600.0,4111.0,1035,103.0,99.2,84.7,1742.0,482.0,190.0,39.5,134.0,256.0,125.0,17824,0.0207,0.00161,0.0014,0.0175,0.000137,0.00154,0.00034,0.0161,0.00091,0.00386,0.00341,0.000162,0.00317,0.00761,0.00719,0.000331,0.000121,0.00217,0.00498,0.0012,0.00142,0.00114,0.00106,0.000233,0.00819,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
238730,0.0,13663899648,93.3,92.4,90.6,544.0,82.1,953.0,87.5,474.0,205.0,246.0,6160,593.0,4074.0,1061,192.0,98.2,78.6,2640.0,489.0,188.0,39.1,137.0,260.0,124.0,19001,0.021,0.0016,0.00133,0.0177,0.000135,0.00156,0.000336,0.0163,0.0009,0.00393,0.00346,0.000163,0.00307,0.00781,0.00731,0.000331,0.000127,0.00221,0.00506,0.00119,0.00141,0.00116,0.00107,0.00023,0.00829,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
214780,0.0,13663731712,94.7,91.5,89.6,552.0,81.2,968.0,80.2,481.0,203.0,250.0,6255,587.0,4037.0,1087,195.0,97.2,82.0,2681.0,497.0,185.0,38.6,139.0,244.0,122.0,19138,0.0213,0.00158,0.0014,0.018,0.000134,0.00146,0.000332,0.0166,0.000891,0.00399,0.00351,0.000161,0.00316,0.00801,0.00743,0.000345,0.000125,0.00224,0.00514,0.00117,0.00139,0.00117,0.00109,0.000227,0.00841,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
216381,0.0,13663977472,96.1,90.7,88.7,561.0,80.2,1685.0,83.7,665.0,201.0,254.0,6351,580.0,4000.0,1113,197.0,96.2,81.1,2722.0,505.0,183.0,38.2,141.0,244.0,121.0,20177,0.0217,0.00157,0.00138,0.0183,0.000132,0.00274,0.00032,0.0168,0.000881,0.00406,0.00357,0.000159,0.00313,0.00821,0.00755,0.000341,0.000124,0.00227,0.00522,0.00116,0.00138,0.0011,0.0011,0.000225,0.00862,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
217880,0.0,13665738752,119.0,89.8,87.7,569.0,79.2,1710.0,82.7,674.0,198.0,258.0,6446,574.0,3963.0,1457,200.0,95.1,80.1,2764.0,512.0,181.0,37.7,143.0,456.0,120.0,20898,0.022,0.00155,0.00137,0.0186,0.000131,0.00278,0.000334,0.0171,0.000871,0.00415,0.00362,0.000157,0.0031,0.00841,0.00712,0.000337,0.000123,0.00231,0.00562,0.00115,0.00137,0.0013,0.00112,0.000222,0.00873,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
221159,0.0,13667856384,121.0,88.9,86.7,577.0,78.2,1735.0,81.8,684.0,192.0,262.0,6542,569.0,3926.0,1491,203.0,94.1,79.2,2805.0,520.0,179.0,37.2,145.0,463.0,119.0,21080,0.0208,0.00154,0.00135,0.0194,0.000135,0.00282,0.000331,0.0173,0.000861,0.00421,0.00367,0.000156,0.00308,0.00861,0.0103,0.000334,0.000121,0.00234,0.00571,0.00113,0.00135,0.00132,0.00114,0.000219,0.00902,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
223787,0.0,13672226816,122.0,88.7,83.1,586.0,77.2,1760.0,80.8,694.0,190.0,304.0,6637,562.0,3889.0,1524,206.0,92.1,78.3,2846.0,528.0,177.0,35.5,147.0,470.0,118.0,21296,0.0215,0.00153,0.00134,0.0196,0.000133,0.00286,0.000327,0.0228,0.000853,0.00428,0.00348,0.000154,0.00305,0.00786,0.0105,0.00033,0.00012,0.00327,0.00579,0.00114,0.00133,0.00133,0.00115,0.000203,0.00958,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
226374,0.0,13679185920,124.0,87.8,82.2,561.0,76.3,1785.0,79.8,704.0,187.0,308.0,12101,556.0,3852.0,1557,260.0,91.1,77.3,2887.0,759.0,175.0,35.1,150.0,477.0,116.0,27089,0.0218,0.00152,0.00132,0.0199,0.000132,0.0029,0.000323,0.0231,0.000843,0.00434,0.00613,0.000152,0.00302,0.00933,0.0107,0.000326,0.000118,0.00332,0.00587,0.00112,0.00132,0.00135,0.0018,0.0002,0.0101,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
229674,0.0,13679869952,126.0,87.0,81.3,561.0,75.5,1811.0,78.9,714.0,185.0,312.0,12273,549.0,3840.0,1590,263.0,90.1,76.4,4514.0,770.0,172.0,34.6,152.0,484.0,115.0,28955,0.0222,0.0015,0.00131,0.0202,0.00013,0.00383,0.000319,0.0234,0.000834,0.0044,0.00621,0.000151,0.00299,0.00954,0.0108,0.000323,0.000117,0.00337,0.00596,0.00111,0.0013,0.00137,0.00183,0.000198,0.0103,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
232974,0.0,13680517120,128.0,86.1,80.3,561.0,74.5,1836.0,77.9,724.0,183.0,317.0,12444,543.0,3803.0,1624,267.0,89.1,75.4,4577.0,781.0,170.0,34.2,142.0,490.0,114.0,29221,0.0225,0.00149,0.00129,0.0205,0.000128,0.00388,0.000315,0.0237,0.000824,0.00447,0.0063,0.000154,0.00296,0.00975,0.011,0.000319,0.000115,0.00342,0.00604,0.0011,0.00128,0.00139,0.00185,0.000195,0.0104,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
215372,0.0,13684314112,129.0,85.2,79.4,1060.0,73.5,2891.0,77.0,1099.0,182.0,321.0,12616,536.0,3766.0,1657,271.0,88.0,76.9,4641.0,791.0,168.0,33.7,248.0,497.0,112.0,31499,0.0228,0.00147,0.00128,0.0208,0.000127,0.00393,0.000311,0.0241,0.000814,0.00453,0.00638,0.000152,0.00295,0.00995,0.0112,0.000322,0.000119,0.00346,0.00612,0.00109,0.00126,0.00141,0.00188,0.000193,0.0105,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
217937,0.0,13693399040,131.0,84.3,78.4,1074.0,72.5,2930.0,74.0,1113.0,180.0,325.0,12788,529.0,3729.0,2135,274.0,87.0,75.9,4704.0,802.0,167.0,33.3,251.0,504.0,111.0,32255,0.0231,0.00146,0.00129,0.021,0.000125,0.00398,0.000308,0.0244,0.000812,0.0046,0.00647,0.00015,0.00293,0.0102,0.0113,0.000319,0.000117,0.0048,0.00717,0.00107,0.00125,0.00143,0.0019,0.000191,0.0109,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
219667,0.0,13695287296,133.0,83.5,77.5,1088.0,71.5,2969.0,73.1,1128.0,178.0,330.0,12959,523.0,3692.0,2177,278.0,86.0,75.0,4768.0,813.0,165.0,32.8,255.0,474.0,102.0,32531,0.0234,0.00144,0.00128,0.0213,0.000107,0.00404,0.000299,0.0247,0.000802,0.00466,0.00656,0.000149,0.0029,0.0104,0.0115,0.000315,0.000116,0.00486,0.00727,0.00106,0.00123,0.00136,0.00193,0.000192,0.011,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
222264,0.0,13705375744,125.0,82.3,79.1,1103.0,70.5,3008.0,72.2,1143.0,176.0,334.0,13131,482.0,3655.0,2219,282.0,85.0,74.0,4831.0,824.0,162.0,32.4,258.0,819.0,102.0,33150,0.023,0.00135,0.00126,0.0221,0.000105,0.00409,0.000296,0.0322,0.000792,0.00437,0.00664,0.000147,0.00287,0.011,0.0108,0.000311,0.000115,0.00493,0.00737,0.00105,0.00121,0.00136,0.00195,0.00019,0.0116,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
222894,0.0,13720850432,163.0,81.5,78.1,1117.0,67.8,3047.0,71.2,1158.0,174.0,430.0,13303,482.0,3616.0,2261,286.0,84.0,73.0,4895.0,835.0,160.0,32.0,261.0,829.0,107.0,33613,0.0233,0.00141,0.00125,0.0224,0.000104,0.00414,0.000292,0.0326,0.000783,0.00508,0.00635,0.000145,0.00284,0.0112,0.0159,0.000307,0.000113,0.00499,0.00746,0.00103,0.0012,0.00163,0.00198,0.000187,0.0122,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
225892,0.0,13722951680,165.0,80.6,77.1,1131.0,66.9,3086.0,70.3,1173.0,171.0,436.0,19258,506.0,3579.0,2303,272.0,83.2,72.1,4958.0,1161.0,158.0,31.5,265.0,840.0,106.0,40050,0.0236,0.0014,0.00123,0.0227,0.000102,0.00571,0.000288,0.0331,0.000773,0.00515,0.00942,0.000143,0.00281,0.0114,0.0161,0.000304,0.000112,0.00506,0.00756,0.00102,0.00118,0.00165,0.00271,0.000185,0.0128,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
228835,0.0,13719154688,167.0,79.7,76.2,1145.0,65.9,3125.0,69.4,1188.0,169.0,441.0,19503,499.0,3542.0,2346,272.0,82.2,71.1,4717.0,1176.0,156.0,31.1,323.0,851.0,105.0,40201,0.0239,0.00138,0.00122,0.023,0.000101,0.00578,0.000284,0.0335,0.000763,0.00522,0.00954,0.000137,0.00278,0.0116,0.0163,0.0003,0.00011,0.00512,0.00765,0.001,0.00116,0.00167,0.00274,0.000182,0.013,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0
