Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,checkout_i_o_read,checkout_i_o_write,checkout_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"checkout_pod_restart_{container=""main"", instance=""kube","checkout_pod_restart_{container=""redis"", instance=""kube","checkout_pod_restart_{container=""server"", instance=""kube","checkout_pod_restart_{container=""server"", instance=""kube.2","checkout_pod_restart_{container=""server"", instance=""kube.3","checkout_pod_restart_{container=""server"", instance=""kube.4","checkout_pod_restart_{container=""server"", instance=""kube.5","checkout_pod_restart_{container=""server"", instance=""kube.6","checkout_pod_restart_{container=""server"", instance=""kube.7","checkout_pod_restart_{container=""server"", instance=""kube.8","checkout_pod_restart_{container=""server"", instance=""kube.9"
96,21,271.7142857142857,217937,0.0,13693399040,131.0,78.4,72.5,74.0,180.0,12788,3729.0,274.0,75.9,802.0,33.3,504.0,32255,0.0231,0.00129,0.000125,0.000308,0.000812,0.00647,0.00293,0.0113,0.000117,0.00717,0.00125,0.0019,0.0109,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
98,24,146.0,219667,0.0,13695287296,133.0,77.5,71.5,73.1,178.0,12959,3692.0,278.0,75.0,813.0,32.8,474.0,32531,0.0234,0.00128,0.000107,0.000299,0.000802,0.00656,0.0029,0.0115,0.000116,0.00727,0.00123,0.00193,0.011,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
100,26,205.30769230769232,222264,0.0,13705375744,125.0,79.1,70.5,72.2,176.0,13131,3655.0,282.0,74.0,824.0,32.4,819.0,33150,0.023,0.00126,0.000105,0.000296,0.000792,0.00664,0.00287,0.0108,0.000115,0.00737,0.00121,0.00195,0.0116,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
102,32,297.9375,222894,0.0,13720850432,163.0,78.1,67.8,71.2,174.0,13303,3616.0,286.0,73.0,835.0,32.0,829.0,33613,0.0233,0.00125,0.000104,0.000292,0.000783,0.00635,0.00284,0.0159,0.000113,0.00746,0.0012,0.00198,0.0122,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
104,18,154.88888888888889,225892,0.0,13722951680,165.0,77.1,66.9,70.3,171.0,19258,3579.0,272.0,72.1,1161.0,31.5,840.0,40050,0.0236,0.00123,0.000102,0.000288,0.000773,0.00942,0.00281,0.0161,0.000112,0.00756,0.00118,0.00271,0.0128,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
106,32,106.625,228835,0.0,13719154688,167.0,76.2,65.9,69.4,169.0,19503,3542.0,272.0,71.1,1176.0,31.1,851.0,40201,0.0239,0.00122,0.000101,0.000284,0.000763,0.00954,0.00278,0.0163,0.00011,0.00765,0.00116,0.00274,0.013,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
108,33,274.54545454545456,214531,0.0,13718700032,169.0,75.2,65.0,68.4,167.0,19748,3505.0,420.0,70.1,1190.0,30.7,862.0,44075,0.0242,0.0012,9.8e-05,0.000281,0.000706,0.00966,0.00276,0.0165,0.000107,0.00775,0.00105,0.00277,0.0131,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
110,29,199.24137931034485,216862,0.0,13716582400,171.0,74.2,64.0,67.5,158.0,19994,3468.0,425.0,69.1,1205.0,30.2,873.0,44942,0.0239,0.00119,0.000104,0.000278,0.000748,0.00978,0.0026,0.0168,0.000106,0.00785,0.00112,0.00281,0.0132,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
112,26,135.0,218302,0.0,13716774912,174.0,73.2,63.0,67.7,167.0,20239,3431.0,431.0,64.8,1220.0,29.8,884.0,45925,0.0242,0.00117,0.000102,0.000278,0.000738,0.0099,0.00271,0.017,0.000104,0.00794,0.00111,0.00284,0.0137,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
114,31,135.0,220454,0.0,13725507584,176.0,72.3,62.1,66.7,165.0,20484,3396.0,436.0,63.8,1235.0,30.4,895.0,46385,0.0245,0.0012,0.000101,0.000291,0.000728,0.01,0.00268,0.0195,0.000103,0.00894,0.00109,0.00288,0.0143,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
116,27,243.74074074074073,221323,0.0,13725646848,178.0,69.4,61.1,65.8,163.0,20730,3359.0,441.0,62.9,1250.0,29.9,905.0,46904,0.0248,0.00119,9.91e-05,0.000287,0.000718,0.0123,0.00265,0.0197,0.000101,0.00904,0.00107,0.00344,0.0147,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
118,39,218.28205128205127,223984,0.0,13727498240,170.0,68.5,62.2,64.8,160.0,20975,3321.0,446.0,62.0,1265.0,29.5,1179.0,47616,0.0251,0.00117,9.76e-05,0.000283,0.000708,0.0124,0.00263,0.0199,9.99e-05,0.00915,0.00106,0.00348,0.0151,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
120,30,116.23333333333332,226423,0.0,13731573760,221.0,67.5,61.2,63.9,158.0,21220,3284.0,532.0,61.1,1210.0,29.0,1193.0,49826,0.0254,0.00116,9.61e-05,0.000279,0.000698,0.0126,0.0026,0.0202,9.84e-05,0.00926,0.00104,0.00352,0.0153,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
122,27,142.0,227927,0.0,13736636416,224.0,66.6,60.2,62.9,156.0,20150,3247.0,539.0,60.4,1598.0,28.5,1207.0,49897,0.0257,0.00114,9.46e-05,0.000275,0.000688,0.0127,0.00257,0.0204,9.7e-05,0.00937,0.00102,0.00356,0.0155,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
124,36,142.0,220550,0.0,13740072960,226.0,65.6,59.2,62.0,154.0,29177,3071.0,545.0,59.4,1617.0,28.1,1220.0,59340,0.026,0.00113,9.31e-05,0.000271,0.000678,0.0129,0.00254,0.0207,9.63e-05,0.00947,0.00101,0.0036,0.0156,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
126,33,114.75757575757576,212934,0.0,13744492544,229.0,64.7,58.2,62.8,152.0,29506,3226.0,551.0,58.5,1635.0,27.8,1234.0,61425,0.0249,0.00111,9.13e-05,0.000267,0.000668,0.013,0.00251,0.0209,9.48e-05,0.00958,0.000985,0.00364,0.0161,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
128,36,218.91666666666663,215235,0.0,13746929664,231.0,63.8,57.2,61.8,146.0,29836,3188.0,557.0,57.6,1654.0,27.3,1248.0,62597,0.0249,0.00109,8.98e-05,0.000256,0.000658,0.0131,0.00238,0.0242,9.34e-05,0.00969,0.000968,0.0042,0.0167,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
130,39,518.6153846153846,217634,0.0,13751709696,234.0,63.8,56.3,60.9,144.0,30166,3150.0,563.0,56.7,1672.0,26.8,1471.0,63421,0.0257,0.00115,8.83e-05,0.000253,0.000647,0.0133,0.0025,0.0245,9.19e-05,0.00929,0.000951,0.00424,0.0169,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
132,43,206.30232558139537,219066,0.0,13759328256,236.0,67.4,55.3,59.9,142.0,30495,3113.0,569.0,55.7,1892.0,26.4,1487.0,64189,0.0259,0.00113,8.68e-05,0.000249,0.000637,0.0127,0.00247,0.0248,9.04e-05,0.011,0.000935,0.00429,0.0175,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
134,35,100.88571428571429,220272,0.0,13770039296,267.0,66.3,54.6,58.9,139.0,30825,3075.0,665.0,49.3,1913.0,25.9,1503.0,64901,0.0262,0.00111,8.53e-05,0.000245,0.000627,0.017,0.00244,0.025,8.89e-05,0.0111,0.000918,0.00434,0.0181,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
136,33,126.12121212121212,221782,0.0,13777022976,270.0,65.3,53.6,57.9,137.0,31155,3037.0,672.0,53.0,1933.0,25.4,1520.0,68486,0.0265,0.0011,8.38e-05,0.000241,0.000617,0.0172,0.00241,0.0253,8.75e-05,0.0113,0.000902,0.00438,0.0185,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
138,33,124.12121212121212,222481,0.0,13775134720,272.0,64.2,52.6,53.3,135.0,31485,2999.0,679.0,52.1,1954.0,24.0,1536.0,69619,0.0268,0.00108,8.23e-05,0.000237,0.000607,0.0173,0.00238,0.0256,8.6e-05,0.0114,0.000798,0.00443,0.0188,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
140,35,91.11428571428571,224853,0.0,13784510464,275.0,63.2,51.6,52.4,133.0,39192,2962.0,686.0,51.2,1974.0,23.5,1552.0,77634,0.0271,0.00106,8.08e-05,0.000243,0.000558,0.0175,0.00235,0.0259,8.45e-05,0.0115,0.000859,0.00448,0.019,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
142,47,155.0,211928,0.0,13793206272,278.0,62.2,50.6,51.5,131.0,39598,2924.0,693.0,50.3,2206.0,23.1,1569.0,78550,0.0273,0.00105,8.69e-05,0.000239,0.000598,0.0177,0.00232,0.0249,8.78e-05,0.0116,0.000843,0.0053,0.0193,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
144,39,91.46153846153848,214063,0.0,13796110336,281.0,61.1,46.6,50.6,129.0,40005,2897.0,701.0,49.4,2229.0,22.7,1832.0,80954,0.0268,0.00103,8.52e-05,0.000235,0.000588,0.0179,0.0023,0.0249,8.63e-05,0.0117,0.000826,0.00535,0.0194,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
146,33,191.54545454545453,215644,0.0,13798621184,284.0,57.2,45.6,49.7,131.0,40411,2859.0,708.0,48.5,2252.0,22.2,1851.0,81705,0.027,0.00105,8.36e-05,0.000231,0.000578,0.0203,0.0023,0.0308,8.47e-05,0.0132,0.00081,0.00541,0.0205,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
148,49,234.87755102040816,217826,0.0,13799931904,312.0,56.2,44.7,48.8,128.0,40817,2821.0,715.0,47.6,2275.0,21.8,1869.0,83699,0.0273,0.00103,8.19e-05,0.000227,0.000567,0.0205,0.00227,0.0312,8.32e-05,0.0133,0.000794,0.00546,0.0207,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
150,47,98.7872340425532,219780,0.0,13799964672,315.0,55.2,43.8,47.8,126.0,41223,2783.0,843.0,46.7,2297.0,21.3,1888.0,84583,0.0276,0.00102,8.03e-05,0.000222,0.000557,0.0207,0.00224,0.0315,8.16e-05,0.0134,0.000777,0.00552,0.021,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
