i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
0.0,148.0,12439031808.0,242.0,472.0,506.0,1105.0,347.0,10180.0,4731.0,1236.0,183.0,1872.0,541.0,161.0,350.0,21924.0,0.00249,0.00458,0.000967,0.0117,0.00181,0.00495,0.00424,0.00831,0.00161,0.00123,0.00299,0.00223,0.000708,0.00399,0.0
0.0,144.0,12463546368.0,242.0,472.0,506.0,1105.0,347.0,10718.0,4691.0,1277.0,183.0,1872.0,541.0,161.0,350.0,22463.0,0.00243,0.00618,0.000967,0.0117,0.00176,0.00495,0.00421,0.00859,0.00212,0.00124,0.00299,0.00228,0.000725,0.00418,0.0
0.0,144.0,12465410048.0,242.0,472.0,506.0,1105.0,336.0,10718.0,4726.0,1631.0,185.0,1872.0,523.0,161.0,350.0,22826.0,0.00251,0.00618,0.000967,0.0183,0.00182,0.00495,0.00417,0.00887,0.00218,0.0025,0.00299,0.00228,0.000725,0.00487,0.0
0.0,142.0,12475412480.0,242.0,472.0,751.0,1105.0,322.0,10718.0,4686.0,1681.0,185.0,3666.0,763.0,161.0,350.0,25101.0,0.00251,0.00618,0.000967,0.0183,0.00182,0.00495,0.00414,0.00915,0.00218,0.0025,0.00299,0.00228,0.000725,0.00489,0.0
0.0,140.0,12511354880.0,242.0,749.0,751.0,1105.0,366.0,10718.0,4645.0,1732.0,185.0,3879.0,763.0,161.0,350.0,25646.0,0.00251,0.00618,0.000967,0.0193,0.00182,0.00495,0.00413,0.00943,0.00218,0.0025,0.00299,0.00228,0.000725,0.005,0.0
0.0,142.0,12539670528.0,242.0,749.0,751.0,1105.0,366.0,15362.0,4605.0,1783.0,185.0,3879.0,763.0,161.0,350.0,30300.0,0.00251,0.00618,0.000967,0.0193,0.00182,0.00495,0.0041,0.00943,0.00218,0.0025,0.00354,0.00228,0.000725,0.00504,0.0
0.0,142.0,12551827456.0,235.0,775.0,751.0,1105.0,366.0,15362.0,4565.0,1833.0,209.0,3879.0,763.0,219.0,442.0,30504.0,0.00251,0.00618,0.00132,0.0193,0.00176,0.00509,0.00406,0.0097,0.00218,0.0025,0.00354,0.00228,0.000725,0.0051,0.0
0.0,146.0,12571799552.0,236.0,775.0,782.0,1128.0,366.0,15362.0,4524.0,1884.0,206.0,3879.0,763.0,219.0,439.0,30564.0,0.00251,0.00816,0.00132,0.0249,0.00175,0.0081,0.00402,0.00998,0.00286,0.0025,0.00354,0.00228,0.000723,0.00605,0.0
0.0,146.0,12573552640.0,338.0,775.0,782.0,1096.0,366.0,15362.0,4484.0,1935.0,207.0,3879.0,791.0,219.0,454.0,30688.0,0.00243,0.00845,0.00132,0.0249,0.00193,0.00838,0.00399,0.0102,0.00298,0.00256,0.00363,0.00228,0.000725,0.00615,0.0
0.0,139.0,12612575232.0,338.0,775.0,782.0,1753.0,375.0,16166.0,4297.0,2228.0,214.0,3879.0,791.0,219.0,454.0,32271.0,0.00283,0.00845,0.00132,0.0249,0.00193,0.00838,0.00395,0.0105,0.00298,0.00367,0.00363,0.00235,0.00101,0.00633,0.0
