Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
58,18,93.0,0.0,148.0,12439031808.0,242.0,472.0,506.0,1105.0,347.0,10180.0,4731.0,1236.0,183.0,1872.0,541.0,161.0,350.0,21924.0,0.00249,0.00458,0.000967,0.0117,0.00181,0.00495,0.00424,0.00831,0.00161,0.00123,0.00299,0.00223,0.000708,0.00399,0.0,0.00388,0.00366,0.0036,0.00363,0.00357,13.0,21.0,23.0,9.0,21.0,12328214528.0,12098969600.0,11944435712.0,11904212992.0,11633795072.0,16.8,0.0037519999999999997,12142972928.0,0.0023139999999999997,0.0025100000000000005,0.007874,0.05417999999999999,244449153024.0,9.995382817240383,23.244105092370102,0.0039820610605721864
60,25,142.4,0.0,144.0,12463546368.0,242.0,472.0,506.0,1105.0,347.0,10718.0,4691.0,1277.0,183.0,1872.0,541.0,161.0,350.0,22463.0,0.00243,0.00618,0.000967,0.0117,0.00176,0.00495,0.00421,0.00859,0.00212,0.00124,0.00299,0.00228,0.000725,0.00418,0.0,0.00399,0.00388,0.00366,0.0036,0.00363,18.0,13.0,21.0,23.0,9.0,12439031808.0,12328214528.0,12098969600.0,11944435712.0,11904212992.0,20.0,0.003862,12254839603.2,0.002346,0.0026300000000000004,0.00803,0.058359999999999995,256912699392.0,10.019669306825538,23.24607393011402,0.004171288068810475
62,29,121.17241379310344,0.0,144.0,12465410048.0,242.0,472.0,506.0,1105.0,336.0,10718.0,4726.0,1631.0,185.0,1872.0,523.0,161.0,350.0,22826.0,0.00251,0.00618,0.000967,0.0183,0.00182,0.00495,0.00417,0.00887,0.00218,0.0025,0.00299,0.00228,0.000725,0.00487,0.0,0.00418,0.00399,0.00388,0.00366,0.0036,25.0,18.0,13.0,21.0,23.0,12463546368.0,12439031808.0,12328214528.0,12098969600.0,11944435712.0,21.2,0.004116,12359034470.4,0.002394,0.00275,0.00831,0.06323,269378109440.0,10.035699324844632,23.24622344940975,0.00485817991035715
64,15,88.4,0.0,142.0,12475412480.0,242.0,472.0,751.0,1105.0,322.0,10718.0,4686.0,1681.0,185.0,3666.0,763.0,161.0,350.0,25101.0,0.00251,0.00618,0.000967,0.0183,0.00182,0.00495,0.00414,0.00915,0.00218,0.0025,0.00299,0.00228,0.000725,0.00489,0.0,0.00487,0.00418,0.00399,0.00388,0.00366,29.0,25.0,18.0,13.0,21.0,12465410048.0,12463546368.0,12439031808.0,12328214528.0,12098969600.0,20.0,0.004362,12434323046.4,0.002442,0.00287,0.00859,0.06812,281853521920.0,10.130702803220391,23.24702554264659,0.0048780827843328085
66,14,110.0,0.0,140.0,12511354880.0,242.0,749.0,751.0,1105.0,366.0,10718.0,4645.0,1732.0,185.0,3879.0,763.0,161.0,350.0,25646.0,0.00251,0.00618,0.000967,0.0193,0.00182,0.00495,0.00413,0.00943,0.00218,0.0025,0.00299,0.00228,0.000725,0.005,0.0,0.00489,0.00487,0.00418,0.00399,0.00388,15.0,29.0,25.0,18.0,13.0,12475412480.0,12465410048.0,12463546368.0,12439031808.0,12328214528.0,20.2,0.004586,12470951116.8,0.00249,0.00299,0.00887,0.07312,294364876800.0,10.152181884694343,23.249902459397724,0.004987541511039074
68,24,110.0,0.0,142.0,12539670528.0,242.0,749.0,751.0,1105.0,366.0,15362.0,4605.0,1783.0,185.0,3879.0,763.0,161.0,350.0,30300.0,0.00251,0.00618,0.000967,0.0193,0.00182,0.00495,0.0041,0.00943,0.00218,0.0025,0.00354,0.00228,0.000725,0.00504,0.0,0.005,0.00489,0.00487,0.00418,0.00399,14.0,15.0,29.0,25.0,18.0,12511354880.0,12475412480.0,12465410048.0,12463546368.0,12439031808.0,21.4,0.004796,12491078860.8,0.002494,0.0031000000000000003,0.009094,0.07816000000000001,306904547328.0,10.318935994253193,23.252163098201564,0.0050273417140253625
70,26,125.5,0.0,142.0,12551827456.0,235.0,775.0,751.0,1105.0,366.0,15362.0,4565.0,1833.0,209.0,3879.0,763.0,219.0,442.0,30504.0,0.00251,0.00618,0.00132,0.0193,0.00176,0.00509,0.00406,0.0097,0.00218,0.0025,0.00354,0.00228,0.000725,0.0051,0.0,0.00504,0.005,0.00489,0.00487,0.00418,24.0,14.0,15.0,29.0,25.0,12539670528.0,12511354880.0,12475412480.0,12465410048.0,12463546368.0,21.6,0.00498,12508735078.4,0.00251,0.00321,0.009316,0.08326,319456374784.0,10.325645883585953,23.253132106027085,0.005087039048557106
72,15,194.6,0.0,146.0,12571799552.0,236.0,775.0,782.0,1128.0,366.0,15362.0,4524.0,1884.0,206.0,3879.0,763.0,219.0,439.0,30564.0,0.00251,0.00816,0.00132,0.0249,0.00175,0.0081,0.00402,0.00998,0.00286,0.0025,0.00354,0.00228,0.000723,0.00605,0.0,0.0051,0.00504,0.005,0.00489,0.00487,26.0,24.0,14.0,15.0,29.0,12551827456.0,12539670528.0,12511354880.0,12475412480.0,12465410048.0,18.8,0.005216,12530012979.2,0.00251,0.00332,0.009538,0.08931,332028174336.0,10.327610842462827,23.254722011831625,0.006031772231718873
74,14,83.14285714285714,0.0,146.0,12573552640.0,338.0,775.0,782.0,1096.0,366.0,15362.0,4484.0,1935.0,207.0,3879.0,791.0,219.0,454.0,30688.0,0.00243,0.00845,0.00132,0.0249,0.00193,0.00838,0.00399,0.0102,0.00298,0.00256,0.00363,0.00228,0.000725,0.00615,0.0,0.00605,0.0051,0.00504,0.005,0.00489,15.0,26.0,24.0,14.0,15.0,12571799552.0,12551827456.0,12539670528.0,12511354880.0,12475412480.0,18.6,0.005468000000000001,12549641011.2,0.002494,0.0034480000000000005,0.009747999999999998,0.09546,344601726976.0,10.331659563179363,23.254861448176705,0.006131165930240219
76,14,49.285714285714285,0.0,139.0,12612575232.0,338.0,775.0,782.0,1753.0,375.0,16166.0,4297.0,2228.0,214.0,3879.0,791.0,219.0,454.0,32271.0,0.00283,0.00845,0.00132,0.0249,0.00193,0.00838,0.00395,0.0105,0.00298,0.00367,0.00363,0.00235,0.00101,0.00633,0.0,0.00615,0.00605,0.0051,0.00504,0.005,14.0,15.0,26.0,24.0,14.0,12573552640.0,12571799552.0,12551827456.0,12539670528.0,12511354880.0,18.6,0.005734,12569885081.6,0.0025580000000000004,0.003576,0.009962,0.10179,357214302208.0,10.381955260193992,23.25796018756375,0.006310049696021733
