i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system
0,1577,12447469568,155,260,237,416,328,4918,5301.0,433,148,663,383,101.0,244,13588,0.00194,0.00234,0.000447,0.00195,0.00173,0.00192,0.00481,0.00602,0.000605,0.000641,0.00212,0.00227,0.000522,0.00228
0,1530,12526379008,155,266,237,416,328,4918,5258.0,666,153,694,383,101.0,267,13843,0.00194,0.00234,0.000523,0.00196,0.00173,0.00192,0.00477,0.00627,0.000605,0.000641,0.00212,0.00229,0.000579,0.00231
0,1530,12639064064,155,266,296,416,328,4918,4946.0,692,155,694,383,101.0,271,13622,0.00205,0.00331,0.000523,0.0074,0.00173,0.00192,0.00473,0.00651,0.000605,0.000641,0.00212,0.00229,0.000579,0.00287
0,1507,12696190976,155,266,296,416,328,4918,5101.0,718,155,694,383,101.0,271,13803,0.00205,0.00331,0.000523,0.0074,0.00173,0.00192,0.00466,0.00676,0.000843,0.00108,0.00215,0.00229,0.000579,0.00294
0,1487,12798046208,155,266,296,430,328,4918,5058.0,744,155,694,383,101.0,271,13800,0.00205,0.00323,0.000523,0.0074,0.00166,0.00197,0.00462,0.00701,0.000843,0.00111,0.00215,0.00229,0.000571,0.00295
0,1487,12808073216,156,266,292,430,336,4918,5016.0,771,155,1532,370,101.0,271,14613,0.00205,0.00335,0.000541,0.0074,0.00172,0.00204,0.00458,0.00726,0.000843,0.00111,0.00215,0.00229,0.000575,0.00299
0,1514,12814835712,156,266,302,430,336,4918,4973.0,797,164,1532,527,101.0,271,14773,0.00205,0.00335,0.000541,0.0074,0.00172,0.00408,0.00454,0.00751,0.000861,0.00111,0.00215,0.00229,0.000594,0.00318
0,1542,12829114368,156,443,302,752,336,4918,4930.0,823,164,1532,527,135.0,271,15290,0.00205,0.00335,0.000541,0.0134,0.0018,0.00408,0.0045,0.00776,0.000861,0.00111,0.00279,0.00229,0.000594,0.00376
0,1542,12890935296,151,460,302,752,337,4854,4888.0,1098,164,1532,527,138.0,271,15474,0.00207,0.00335,0.000763,0.0134,0.0018,0.00408,0.00446,0.00752,0.000861,0.00191,0.00279,0.00229,0.000735,0.00384
0,1511,13026807808,227,460,495,752,337,10499,4845.0,1132,166,1532,527,138.0,332,21441,0.00207,0.00335,0.000763,0.0134,0.0018,0.00408,0.00442,0.00775,0.000861,0.00191,0.00276,0.00229,0.000735,0.00385
0,1464,13081964544,227,460,495,752,337,10499,4802.0,1166,166,2713,527,138.0,334,22616,0.00207,0.00324,0.000763,0.014,0.0018,0.00408,0.00432,0.00799,0.000861,0.00191,0.00286,0.00234,0.000735,0.00392
0,1486,13104418816,227,460,495,767,337,10499,4651.0,1200,177,2713,527,138.0,345,22536,0.00233,0.00523,0.000763,0.014,0.0018,0.00408,0.00428,0.00822,0.00159,0.00197,0.00286,0.00234,0.000735,0.00419
0,1538,13128007680,231,460,495,795,337,10499,4609.0,1234,177,2713,668,138.0,345,22702,0.00233,0.00523,0.000763,0.014,0.0018,0.00408,0.00424,0.00845,0.00159,0.00197,0.00286,0.00234,0.000735,0.0042
0,1563,13128941568,231,460,495,795,352,10979,4567.0,1268,177,2713,686,184.0,345,23253,0.00233,0.00523,0.000785,0.014,0.00174,0.0065,0.0042,0.00869,0.00159,0.00197,0.00286,0.00234,0.000735,0.00442
0,1563,13134548992,231,460,513,795,352,10979,4526.0,1301,177,2713,686,184.0,345,23263,0.00233,0.00537,0.000785,0.014,0.00176,0.0065,0.00416,0.00875,0.00167,0.00197,0.0035,0.00234,0.000752,0.0045
0,1563,13144383488,231,445,513,1367,352,10979,4484.0,1607,177,2713,686,192.0,345,24091,0.00237,0.00537,0.00108,0.014,0.00189,0.0065,0.00413,0.00898,0.00167,0.00271,0.0035,0.00234,0.000752,0.00461
0,1534,13154107392,231,771,513,1367,352,10979,4442.0,1648,177,2713,686,192.0,345,24415,0.00237,0.00537,0.00108,0.0135,0.00189,0.0065,0.00409,0.00921,0.00167,0.00271,0.0035,0.00238,0.000939,0.0046
0,1511,13160177664,303,771,496,1367,352,10651,4401.0,1688,199,3925,686,192.0,334,25365,0.00237,0.0065,0.00108,0.0237,0.00189,0.0065,0.00382,0.00944,0.00167,0.00285,0.0035,0.00238,0.000939,0.00555
0,1506,13162618880,303,771,493,1367,352,17379,4359.0,1729,199,4123,686,192.0,331,32283,0.00237,0.0065,0.00108,0.0245,0.00189,0.0065,0.00396,0.00967,0.00167,0.00285,0.00348,0.00238,0.000939,0.00565
0,1486,13160480768,303,771,805,1367,352,17379,4299.0,1770,199,4123,686,192.0,451,32696,0.00237,0.0065,0.00108,0.0245,0.00189,0.00932,0.00392,0.0102,0.00256,0.00285,0.00351,0.00238,0.000939,0.006
0,1486,13151748096,303,771,805,1367,352,17379,4258.0,1810,199,4123,686,250.0,451,32753,0.00265,0.0065,0.00108,0.0245,0.00189,0.00932,0.00388,0.0104,0.00256,0.00285,0.00362,0.00238,0.000939,0.00605
0,1536,13155110912,303,771,819,1837,339,18248,4216.0,1851,199,4123,660,250.0,451,34066,0.00265,0.00674,0.00112,0.0245,0.00189,0.00967,0.00384,0.0107,0.00256,0.00285,0.00362,0.00244,0.000939,0.00612
0,1536,13162422272,303,771,848,1837,363,18248,4175.0,2142,199,4123,981,250.0,451,34689,0.00265,0.0079,0.00112,0.0245,0.00197,0.00967,0.0038,0.0109,0.00256,0.00285,0.00477,0.00244,0.000938,0.00634
0,1536,13174665216,368,1026,848,1837,363,18248,4133.0,2188,206,4123,981,257.0,451,35029,0.00266,0.0079,0.00145,0.0245,0.00192,0.00967,0.00377,0.0111,0.0027,0.00429,0.00477,0.00244,0.000944,0.00651
0,1536,13175275520,368,1026,848,1837,363,18248,4091.0,2234,206,4123,981,257.0,451,35034,0.00266,0.0079,0.00145,0.0245,0.00193,0.00967,0.00373,0.0114,0.0027,0.00429,0.00477,0.00244,0.000944,0.00653
