"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-07 12:50:42,1481
2024-06-07 12:50:44,1481
2024-06-07 12:50:46,1471
2024-06-07 12:50:48,1466
2024-06-07 12:50:50,1446
2024-06-07 12:50:52,1466
2024-06-07 12:50:54,1466
2024-06-07 12:50:56,1483
2024-06-07 12:50:58,1483
2024-06-07 12:51:00,1456
2024-06-07 12:51:02,1461
2024-06-07 12:51:04,1451
2024-06-07 12:51:06,1465
2024-06-07 12:51:08,1466
2024-06-07 12:51:10,1149
2024-06-07 12:51:12,1149
2024-06-07 12:51:14,1149
2024-06-07 12:51:16,1108
2024-06-07 12:51:18,780
2024-06-07 12:51:20,780
2024-06-07 12:51:22,801
2024-06-07 12:51:24,819
2024-06-07 12:51:26,819
2024-06-07 12:51:28,819
2024-06-07 12:51:30,800
2024-06-07 12:51:32,779
2024-06-07 12:51:34,779
2024-06-07 12:51:36,797
2024-06-07 12:51:38,809
2024-06-07 12:51:40,820
2024-06-07 12:51:42,803
2024-06-07 12:51:44,803
2024-06-07 12:51:46,803
2024-06-07 12:51:48,792
2024-06-07 12:51:50,805
2024-06-07 12:51:52,805
2024-06-07 12:51:54,816
2024-06-07 12:51:56,819
2024-06-07 12:51:58,810
2024-06-07 12:52:00,790
2024-06-07 12:52:02,790
2024-06-07 12:52:04,790
2024-06-07 12:52:06,803
2024-06-07 12:52:08,806
2024-06-07 12:52:10,818
2024-06-07 12:52:12,818
2024-06-07 12:52:14,808
2024-06-07 12:52:16,796
2024-06-07 12:52:18,796
2024-06-07 12:52:20,796
2024-06-07 12:52:22,796
2024-06-07 12:52:24,796
2024-06-07 12:52:26,818
2024-06-07 12:52:28,801
2024-06-07 12:52:30,800
2024-06-07 12:52:32,799
2024-06-07 12:52:34,799
2024-06-07 12:52:36,799
2024-06-07 12:52:38,799
2024-06-07 12:52:40,820
2024-06-07 12:52:42,820
2024-06-07 12:52:44,806
2024-06-07 12:52:46,808
2024-06-07 12:52:48,786
2024-06-07 12:52:50,786
2024-06-07 12:52:52,786
2024-06-07 12:52:54,802
2024-06-07 12:52:56,819
2024-06-07 12:52:58,819
2024-06-07 12:53:00,819
2024-06-07 12:53:02,800
2024-06-07 12:53:04,786
2024-06-07 12:53:06,792
2024-06-07 12:53:08,811
2024-06-07 12:53:10,811
2024-06-07 12:53:12,811
2024-06-07 12:53:14,811
2024-06-07 12:53:16,811
2024-06-07 12:53:18,796
2024-06-07 12:53:20,799
2024-06-07 12:53:22,802
2024-06-07 12:53:24,799
2024-06-07 12:53:26,787
2024-06-07 12:53:28,787
2024-06-07 12:53:30,812
2024-06-07 12:53:32,826
2024-06-07 12:53:34,866
2024-06-07 12:53:36,866
2024-06-07 12:53:38,850
2024-06-07 12:53:40,837
2024-06-07 12:53:42,824
2024-06-07 12:53:44,812
2024-06-07 12:53:46,812
2024-06-07 12:53:48,812
2024-06-07 12:53:50,842
2024-06-07 12:53:52,857
2024-06-07 12:53:54,838
2024-06-07 12:53:56,838
2024-06-07 12:53:58,838
2024-06-07 12:54:00,838
2024-06-07 12:54:02,845
2024-06-07 12:54:04,832
2024-06-07 12:54:06,832
2024-06-07 12:54:08,813
2024-06-07 12:54:10,429
2024-06-07 12:54:12,429
2024-06-07 12:54:14,414
2024-06-07 12:54:16,414
2024-06-07 12:54:18,28.7
2024-06-07 12:54:20,28.7
2024-06-07 12:54:22,28.7
2024-06-07 12:54:24,29.4
2024-06-07 12:54:26,29.4
2024-06-07 12:54:28,29.0
2024-06-07 12:54:30,29.0
2024-06-07 12:54:32,28.9
2024-06-07 12:54:34,28.5
2024-06-07 12:54:36,28.5
2024-06-07 12:54:38,28.5
2024-06-07 12:54:40,28.3
2024-06-07 12:54:42,28.8
2024-06-07 12:54:44,28.8
2024-06-07 12:54:46,29.5
2024-06-07 12:54:48,29.5
2024-06-07 12:54:50,28.7
2024-06-07 12:54:52,28.7
2024-06-07 12:54:54,28.7
2024-06-07 12:54:56,28.7
2024-06-07 12:54:58,28.8
2024-06-07 12:55:00,29.0
2024-06-07 12:55:02,29.0
2024-06-07 12:55:04,29.0
2024-06-07 12:55:06,28.2
2024-06-07 12:55:08,28.2
2024-06-07 12:55:10,27.7
2024-06-07 12:55:12,28.2
2024-06-07 12:55:14,28.7
2024-06-07 12:55:16,29.2
2024-06-07 12:55:18,28.6
2024-06-07 12:55:20,28.6
2024-06-07 12:55:22,29.1
2024-06-07 12:55:24,29.1
2024-06-07 12:55:26,29.1
2024-06-07 12:55:28,28.6
2024-06-07 12:55:30,27.5
2024-06-07 12:55:32,28.4
2024-06-07 12:55:34,29.0
2024-06-07 12:55:36,29.0
2024-06-07 12:55:38,29.0
2024-06-07 12:55:40,29.0
2024-06-07 12:55:42,28.4
2024-06-07 12:55:44,28.4
2024-06-07 12:55:46,28.5
2024-06-07 12:55:48,28.9
2024-06-07 12:55:50,28.9
2024-06-07 12:55:52,29.4
2024-06-07 12:55:54,29.4
2024-06-07 12:55:56,28.7
2024-06-07 12:55:58,28.7
2024-06-07 12:56:00,28.7
2024-06-07 12:56:02,28.7
2024-06-07 12:56:04,29.4
2024-06-07 12:56:06,28.0
2024-06-07 12:56:08,28.8
2024-06-07 12:56:10,28.8
2024-06-07 12:56:12,28.8
2024-06-07 12:56:14,28.8
2024-06-07 12:56:16,28.8
2024-06-07 12:56:18,29.3
2024-06-07 12:56:20,29.3
2024-06-07 12:56:22,28.8
2024-06-07 12:56:24,27.9
2024-06-07 12:56:26,28.2
2024-06-07 12:56:28,28.6
2024-06-07 12:56:30,29.0
2024-06-07 12:56:32,29.0
2024-06-07 12:56:34,29.0
2024-06-07 12:56:36,29.0
2024-06-07 12:56:38,29.0
2024-06-07 12:56:40,28.3
2024-06-07 12:56:42,28.3
2024-06-07 12:56:44,28.3
2024-06-07 12:56:46,29.1
2024-06-07 12:56:48,29.1
2024-06-07 12:56:50,29.1
2024-06-07 12:56:52,29.1
2024-06-07 12:56:54,29.1
2024-06-07 12:56:56,29.4
2024-06-07 12:56:58,28.0
2024-06-07 12:57:00,28.0
2024-06-07 12:57:02,28.5
2024-06-07 12:57:04,28.5
2024-06-07 12:57:06,28.5
2024-06-07 12:57:08,28.5
2024-06-07 12:57:10,29.1
2024-06-07 12:57:12,29.5
2024-06-07 12:57:14,30.1
2024-06-07 12:57:16,28.7
2024-06-07 12:57:18,28.2
2024-06-07 12:57:20,28.2
2024-06-07 12:57:22,29.1
2024-06-07 12:57:24,29.1
2024-06-07 12:57:26,29.1
2024-06-07 12:57:28,28.6
2024-06-07 12:57:30,27.9
2024-06-07 12:57:32,28.6
2024-06-07 12:57:34,28.6
2024-06-07 12:57:36,28.6
2024-06-07 12:57:38,28.6
2024-06-07 12:57:40,28.7
2024-06-07 12:57:42,28.7
2024-06-07 12:57:44,29.5
2024-06-07 12:57:46,29.5
2024-06-07 12:57:48,28.7
2024-06-07 12:57:50,28.2
2024-06-07 12:57:52,28.2
2024-06-07 12:57:54,28.2
2024-06-07 12:57:56,28.9
2024-06-07 12:57:58,28.9
2024-06-07 12:58:00,29.4
2024-06-07 12:58:02,29.2
