"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:19:38,2323
2024-06-12 11:19:40,2295
2024-06-12 11:19:42,2295
2024-06-12 11:19:44,2330
2024-06-12 11:19:46,2283
2024-06-12 11:19:48,2318
2024-06-12 11:19:50,2318
2024-06-12 11:19:52,2357
2024-06-12 11:19:54,2346
2024-06-12 11:19:56,2346
2024-06-12 11:19:58,2346
2024-06-12 11:20:00,2346
2024-06-12 11:20:02,2283
2024-06-12 11:20:04,2345
2024-06-12 11:20:06,2345
2024-06-12 11:20:08,2345
2024-06-12 11:20:10,2277
2024-06-12 11:20:12,2323
2024-06-12 11:20:14,2323
2024-06-12 11:20:16,2271
2024-06-12 11:20:18,2271
2024-06-12 11:20:20,2315
2024-06-12 11:20:22,2315
2024-06-12 11:20:24,2357
2024-06-12 11:20:26,2285
2024-06-12 11:20:28,2285
2024-06-12 11:20:30,2317
2024-06-12 11:20:32,2325
2024-06-12 11:20:34,2363
2024-06-12 11:20:36,2363
2024-06-12 11:20:38,2313
2024-06-12 11:20:40,2259
2024-06-12 11:20:42,2312
2024-06-12 11:20:44,2312
2024-06-12 11:20:46,2312
2024-06-12 11:20:48,2312
2024-06-12 11:20:50,2322
2024-06-12 11:20:52,2277
2024-06-12 11:20:54,2277
2024-06-12 11:20:56,2313
2024-06-12 11:20:58,2356
2024-06-12 11:21:00,2356
2024-06-12 11:21:02,2306
2024-06-12 11:21:04,2308
2024-06-12 11:21:06,2308
2024-06-12 11:21:08,2308
2024-06-12 11:21:10,2308
2024-06-12 11:21:12,2308
2024-06-12 11:21:14,2308
2024-06-12 11:21:16,2380
2024-06-12 11:21:18,2378
2024-06-12 11:21:20,2340
2024-06-12 11:21:22,2332
2024-06-12 11:21:24,2300
2024-06-12 11:21:26,2300
2024-06-12 11:21:28,2300
2024-06-12 11:21:30,2300
2024-06-12 11:21:32,2408
2024-06-12 11:21:34,2369
2024-06-12 11:21:36,2334
2024-06-12 11:21:38,2269
2024-06-12 11:21:40,2269
2024-06-12 11:21:42,2269
2024-06-12 11:21:44,2302
2024-06-12 11:21:46,2369
2024-06-12 11:21:48,2357
2024-06-12 11:21:50,2357
2024-06-12 11:21:52,2357
2024-06-12 11:21:54,2296
2024-06-12 11:21:56,2296
2024-06-12 11:21:58,2296
2024-06-12 11:22:00,2351
2024-06-12 11:22:02,2292
2024-06-12 11:22:04,2325
2024-06-12 11:22:06,2360
